Inoculation,Organization,Clade,Strain,Replicate,Label,Root_DM,Shoot_DM,Total_DM,R_S_Ratio,MR_Root_DM,MR_Shoot_DM,MR_Total_DM,MR_R_S_Ratio,Bulk_Mycorrhizal_C1,Bulk_Mycorrhizal_C2,BulkMAOM_Mycorrhizal_C1,BulkMAOM_Mycorrhizal_C2,Inc_Mycorrhizal_C1,Inc_Mycorrhizal_C2,IncMAOM_Mycorrhizal_C1,IncMAOM_Mycorrhizal_C2,Bulk_SOC,Bulk_MAOC,Inc_SOC,Inc_MAOC,Incubation_effect_C1,Incubation_effect_C1_MAOM,N_Conc,S_Conc ,P_Conc,K_Conc,Mg_Conc,B_Conc, Zn_Conc ,Mn_Conc ,Fe_Conc ,Cu_Conc ,Al_Conc ,% Hyphae,% Vesicles,% Arbuscules
AMF,Mix,Mix,Mix,1,Mix_1,8.198541477,4.4,12.59854148,1.863304881,0.484985902,-1.114285714,-0.62929981,0.467859934,0.038603714,5.079436,0.006336157,3.524540988,0.027372954,2.55822,0.081373184,3.17864,7.640814274,1.797725375,10.69007557,25.55198431,-0.01123076,0.075037027,13.6,1.2,0.9,29.6,1.5,14.67,31,297,83,5.06,49,78,3,40
AMF,Mix,Mix,Mix,2,Mix_2,8.908723864,4.8,13.70872386,1.855984138,1.195168289,-0.714285714,0.48088257,0.460539191,0.424891921,62.484106,0.023088697,13.49252846,0.253531748,63.382937,0.509218395,21.129394,6.798130082,1.711220946,4.046094875,24.0883691,-0.171360173,0.486129698,9.7,0.9,1,28.9,1.7,14.06,37,716,88,4.79,58,39,3,14
AMF,Mix,Mix,Mix,3,Mix_3,8.920024722,4.7,13.62002472,1.8978776,1.206469147,-0.814285714,0.39218343,0.502432653,0.103109445,13.747926,0.00991229,1.656216985,0.118095073,32.804187,0.036341325,2.007808,7.507893926,5.984897937,3.602807932,18.11566188,0.014985628,0.026429035,13.7,0.9,0.8,24.5,1.7,22.9,30,782,81,4.98,33,10.71428571,0,0
AMF,Mix,Mix,Mix,4,Mix_4,9.750144648,5.2,14.95014465,1.875027817,2.036589073,-0.314285714,1.72230336,0.47958287,0.135124654,18.767313,0.034268544,2.601133428,0.17398311,39.541616,0.228229668,12.679426,7.184734118,13.17446619,4.39983172,17.9771761,0.038858456,0.193961124,9.4,0.8,0.8,22.7,2.3,21.44,39,612,73,4.73,42,2.857142857,0,0
AMF,Mix,Mix,Mix,5,Mix_5,16.12042629,4.5,20.62042629,3.582316953,8.406870715,-1.014285714,7.392585,2.186872006,0.086850423,12.772121,0.087432713,9.935535604,0.067903038,9.84102,0.313333335,13.925926,6.833173433,8.8,6.946218592,22.50135878,-0.018947385,0.225900622,10.6,0.9,1.1,24.3,2.5,25.48,38,1064,78,5.76,54,53,6,14
AMF,Mix,Mix,Mix,6,Mix_6,9.451344974,4.8,14.25134497,1.969030203,1.737789399,-0.714285714,1.02350368,0.573585256,0.134097888,27.93706,0.228027049,35.62922646,0.349430214,74.346854,0.273064837,11.425307,4.768315819,6.4,4.732691534,23.89283951,0.215332326,0.045037788,14.1,1.1,1.3,28,2.7,32.15,35,804,95,6.34,33,62,18,24
AMF,Mix,Mix,Mix,7,Mix_7,9.729154796,4.8,14.5291548,2.026907249,2.015599221,-0.714285714,1.30131351,0.631462302,0,0,0.083018871,15.09434011,0.050339811,8.989252,0.302310791,9.751961,11.90078208,5.5,5.610822646,30.97940564,0.050339811,0.21929192,9.6,0.9,0.8,26.3,1.8,15.15,47,647,86,5.72,94,60,10,29
AMF,Mix,Mix,Mix,8,Mix_X1,7.838122066,6.08,13.91812207,1.289164813,0.124566491,0.565714286,0.69028078,-0.106280134,0.0979057,19.980755,0.053641571,2.372110779,0.10273412,20.143945,0.33112055,11.41795,4.904870274,22.61343402,5.057267427,29.04820833,0.00482842,0.277478979,8.4,0.7,0.9,29.1,1.2,9.16,33,493,121,4.37,77,45,2.5,16.25
AMF,Mix,Mix,Mix,9,Mix_X2,9.150526316,8.54,17.69052632,1.071490201,1.436970741,3.025714286,4.46268503,-0.323954746,0.092647834,16.254006,0.033154912,4.19682434,0.09756057,20.757568,0.108761294,5.816112,5.749783416,7.9,4.701430731,18.73395409,0.004912736,0.075606382,9.9,1,0.9,26.4,1.8,20.21,36,899,91,4.98,45,56.84210526,22.10526316,27.36842105
AMF,Mix,Mix,Mix,10,Mix_X3,8.653888372,6,14.65388837,1.442314729,0.940332797,0.485714286,1.42604708,0.046869782,0.0991407,21.552326,0.051615595,6.764220258,0.063771597,11.809555,0.098314349,4.867047,4.602540869,7.630679198,5.403124742,20.1833193,-0.035369103,0.046698754,13.2,0.9,1.2,23.1,2.1,21.78,35,383,96,5.99,216,79.7752809,19.1011236,59.5505618
AMF,Heterokaryon,II,SL1,1,SL1_1,9.638085218,5.5,15.13808522,1.752379131,1.924529643,-0.014285714,1.91024393,0.356934184,0.269249709,42.738049,0.135500654,6.965967583,0.063681628,11.792894,0.310450879,11.048074,6.323020306,19.45180652,5.411259973,28.11986092,-0.205568081,0.174950225,8.5,0.7,1.1,26.4,1.8,15.7,44,461,77,5.06,62,47.87234043,0,0
AMF,Heterokaryon,II,SL1,2,SL1_2,17.20860927,7.43,24.63860927,2.316098152,9.495053695,1.915714286,11.41076798,0.920653205,0.68656069,50.113919,0.041088951,19.93665526,0.12493709,24.987418,0.177742032,8.628254,13.69272479,2.060975167,4.955057145,20.60836419,-0.5616236,0.136653081,9,0.8,1,23.8,1.8,10.17,27,794,90,4.6,46,46.66666667,10,10
AMF,Heterokaryon,II,SL1,3,SL1_3,10.03509572,5.6,15.63509572,1.791981378,2.321540145,0.085714286,2.40725443,0.396536431,0.340561127,60.814487,0.197660578,9.238887713,0.241342368,50.27966,0.085955058,20.46549,5.578958417,21.3944129,4.750892364,4.235168401,-0.099218759,-0.11170552,9.5,0.8,1.1,27.6,1.9,14.24,25,717,92,4.7,56,32.60869565,2.173913043,13.04347826
AMF,Heterokaryon,II,SL1,4,SL1_4,11.5139514,5.9,17.4139514,1.951517186,3.800395825,0.385714286,4.18611011,0.556072239,0.077292808,20.889948,0.520515003,23.34147998,0.07436291,5.676558,0.089664372,5.337165,3.666865336,22.3,13.11917433,16.84083597,-0.002929898,-0.430850631,7.7,0.7,0.8,23.5,1.7,19.37,41,639,69,4.04,44,60,1.428571429,17.14285714
AMF,Heterokaryon,II,SL1,5,SL1_5,8.403670972,5.2,13.60367097,1.616090572,0.690115397,-0.314285714,0.37582968,0.220645625,0.071671766,9.954412,0.027908842,4.104241399,0.034397566,4.144285,0.199851432,7.657143,7.180407851,6.8,8.304791056,26.11524865,-0.0372742,0.17194259,10.6,1,1.1,31.7,1.8,10.77,54,453,95,6.39,65,33.33333333,0,13.33333333
AMF,Heterokaryon,II,SL1,6,SL1_6,10.06808511,5.3,15.36808511,1.899638699,2.354529535,-0.214285714,2.14024382,0.504193752,0.075630297,12.198435,0.035595173,10.78641605,0.072808181,8.77207,0.105507061,5.927363,6.202806797,3.3,8.27676388,17.8148372,-0.002822116,0.069911888,8.7,0.8,1,27.5,1.9,18.3,40,621,94,4.22,44,43.58974359,7.692307692,22.22222222
AMF,Heterokaryon,II,SL1,7,SL1_7,8.757488555,3.9,12.65748855,2.245509886,1.04393298,-1.614285714,-0.57035274,0.850064939,0.044581838,5.944245,0.013453448,0.573628473,0.052473914,15.901186,0.089121635,4.284694,7.529560172,23.4532422,3.274036842,20.78750414,0.007892076,0.075668187,6.7,0.9,1,29.2,1.2,5.29,95,378,120,5.46,63,56.75675676,1.351351351,10.81081081
